127.0.0.1 - - [02/Sep/2025:18:16:39 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/ HTTP/1.1" 200 4980
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_image_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_image_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_image_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_image_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_image_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_image_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_main_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_menu_hover_right.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Sep/2025:18:16:40 +0530] "GET /Food_Plaza/images/templatemo_header.jpg HTTP/1.1" 304 -
